Type,Location,Country,2012,2013,2014,2015,2016
Transport,Domestic,Poland,51.86,40.96,21.07,22.08,22.23
Transport,Abroad,Poland,285.26,208.97,170.19,172.31,166.33
Accomodation,Domestic,Portugal,19.81,15.75,21.89,26.47,23.41
Accomodation,Abroad,Portugal,143.11,103.27,132.85,141.91,163.36
Eating out,Domestic,Portugal,21.53,19.32,30.15,38.69,36.01
Eating out,Abroad,Portugal,56.76,68.58,96.14,143.24,124.15
Other,Domestic,Portugal,17.91,20.55,24.31,21.48,18.58
Other,Abroad,Portugal,34.76,36.76,136.19,157.49,51.18
Shopping,Domestic,Portugal,0.83,1.15,1.54,3.13,1.08
Shopping,Abroad,Portugal,2.95,1.15,1.93,3.76,1.07
Total,Domestic,Portugal,84.02,79.48,103.11,111.99,106.53
Total,Abroad,Portugal,392.65,408.7,549.89,590.55,489.6
Transport,Domestic,Portugal,24.77,23.85,26.75,25.35,28.53
Transport,Abroad,Portugal,158.02,200.09,184.71,147.91,150.91
Accomodation,Domestic,Romania,23.26,18.76,19.06,23.03,23.67
Accomodation,Abroad,Romania,129.69,89.75,87.22,101.37,91.31
Eating out,Domestic,Romania,22.22,23.71,24.02,26.14,29.78
Eating out,Abroad,Romania,67.66,72.39,54.75,71.01,67.87
Other,Domestic,Romania,24.51,19.78,18.65,19.58,22
Other,Abroad,Romania,101.68,61.02,56.76,53.42,66.77
Shopping,Domestic,Romania,0.04,0.11,0.12,0.13,0.15
Shopping,Abroad,Romania,1.03,1.51,5.09,4.99,2.3
Total,Domestic,Romania,87.88,90.52,91.4,100.57,108.79
Total,Abroad,Romania,423.06,369.4,362.96,388.1,378.26
Transport,Domestic,Romania,17.89,28.27,29.67,31.82,33.34
Transport,Abroad,Romania,124.03,146.24,164.23,162.3,152.31
Accomodation,Domestic,Slovakia,56.82,37.9,45.69,46.24,46.07
Accomodation,Abroad,Slovakia,163.41,199.16,153.03,176.81,152.9
Eating out,Domestic,Slovakia,:,24.23,25.17,26.69,26.61
Eating out,Abroad,Slovakia,:,86.08,77.49,109.82,103.53
Other,Domestic,Slovakia,93.33,35.64,33.58,38.5,35.64
Other,Abroad,Slovakia,244.87,124.01,111.99,106.66,92.32
Shopping,Domestic,Slovakia,8.48,2.45,1.92,1.3,0.96
Shopping,Abroad,Slovakia,25.9,12.09,7.46,4.3,4.37
Total,Domestic,Slovakia,191.77,118.65,133.16,130.77,128.61
Total,Abroad,Slovakia,580.58,567.93,482.56,551.46,468.63
Transport,Domestic,Slovakia,41.62,20.88,28.72,19.33,20.29
Transport,Abroad,Slovakia,172.3,158.68,140.05,158.17,119.88
Accomodation,Domestic,Slovenia,41.68,39.82,43.53,54.07,54.88
Accomodation,Abroad,Slovenia,117.18,102.14,110.23,125.14,121.22
Eating out,Domestic,Slovenia,16.97,17.35,19.54,18.54,20.15
Eating out,Abroad,Slovenia,55.16,46.06,47.01,53.31,52.58
Other,Domestic,Slovenia,18.51,21.56,21.86,20.36,21.91
Other,Abroad,Slovenia,54.73,59.62,53.93,51.25,55.68
Shopping,Domestic,Slovenia,0.09,0.11,0,0.01,0.01
Shopping,Abroad,Slovenia,1.54,1.42,0.89,2.83,0.39
Total,Domestic,Slovenia,95.61,96.93,102.38,110.52,113.51
Total,Abroad,Slovenia,339,307.85,318.89,327.64,335.05
Transport,Domestic,Slovenia,18.45,18.2,17.44,17.56,16.58
Transport,Abroad,Slovenia,111.93,100.03,107.72,97.94,105.57
Accomodation,Domestic,Spain,30.12,32.82,31.5,41.3,46.08
Accomodation,Abroad,Spain,133.29,161.69,156.62,202.68,243.77
Eating out,Domestic,Spain,23.33,24.5,25.43,53.01,49.05
Eating out,Abroad,Spain,73.92,83.29,85.92,180.57,171.23
Other,Domestic,Spain,60.18,61.49,60.21,32.56,44.3
Other,Abroad,Spain,249.52,268.68,260.25,143.35,164.42
Shopping,Domestic,Spain,6.09,0.73,1.19,5.02,3.09
Shopping,Abroad,Spain,73.22,3.91,2.08,16.33,5.78
Total,Domestic,Spain,140.09,147.7,146.73,170.52,181.73
Total,Abroad,Spain,611.59,700.95,687.4,820.22,905.09
Transport,Domestic,Spain,26.46,28.9,29.58,43.64,42.31
Transport,Abroad,Spain,154.87,187.27,184.61,293.63,325.67
Accomodation,Domestic,Sweden,:,:,49.12,47.19,65.04
Accomodation,Abroad,Sweden,:,:,125.81,184.3,196.94
Eating out,Domestic,Sweden,:,:,:,:,:
Eating out,Abroad,Sweden,:,:,:,:,:
Other,Domestic,Sweden,:,:,52.2,60.06,60.35
Other,Abroad,Sweden,:,:,140.39,162.11,171.66
Shopping,Domestic,Sweden,:,:,6.34,5.4,9.35
Shopping,Abroad,Sweden,:,:,0,0,0
Total,Domestic,Sweden,:,:,139.46,153.85,162.56
Total,Abroad,Sweden,:,:,603.74,673.31,517.27
Transport,Domestic,Sweden,:,:,38.14,46.6,37.18
Transport,Abroad,Sweden,:,:,337.54,326.89,148.67
Accomodation,Domestic,Switzerland,134.19,157.83,150.87,152.46,173.3
Accomodation,Abroad,Switzerland,377.92,370.72,343.34,343.38,378.18
Eating out,Domestic,Switzerland,87.75,85.25,95.7,88.88,108.37
